code,count,most_common_grade
E330,22420,d
E375,20680,d
E101,20484,d
E101I,20472,d
E322,17615,e
E322I,17533,e
E415,8956,d
E412,7458,d
E339,7147,d
E300,6131,b
E407,5939,d
E471,5467,d
E150A,5238,d
E129,5219,d
E410,4889,d
E500,4836,d
E500II,4532,d
E202,4526,d
E341,4479,d
E102,4403,d
E270,4349,d
E440,3986,d
E440I,3920,d
E331,3897,d
E133,3860,d
E428,3307,d
E110,3253,d
E621,3250,d
E450,3247,d
E160B,3183,e
E509,3070,b
E250,3063,d
E466,2721,d
E341I,2506,d
E316,2503,d
E170,2440,d
E296,2383,d
E171,2197,d
E516,2148,d
E211,2114,d
E422,2053,d
E262,1868,d
E903,1832,d
E262II,1769,d
E282,1708,b
E160A,1695,d
E340,1671,e
E339II,1637,d
E160AI,1600,d
E200,1559,e
E460,1537,e
E1400,1513,d
E414,1432,d
E433,1409,d
E551,1404,d
E627,1394,d
E955,1383,b
E340II,1363,e
E420,1312,d
E508,1300,c
E481,1289,d
E541,1258,d
E420I,1253,d
E235,1234,e
E631,1186,d
E307C,1147,d
E301,1119,d
E326,1088,d
E321,1088,d
E435,1078,e
E385,1039,e
E452,985,a
E341III,906,b
E260,881,d
E297,855,d
E472E,846,c
E460II,833,e
E452VI,808,a
E320,803,e
E1510,748,d
E325,735,d
E401,734,d
E950,733,b
E338,693,d
E160C,683,d
E220,681,d
E319,665,e
E223,635,d
E418,607,b
E406,571,d
E222,525,c
E1520,519,e
E476,517,e
E334,501,d
E965,480,d
E327,465,d
E517,428,c
E332,411,b
E491,401,e
E965I,394,d
E251,388,e
E341II,377,d
E572,360,d
E281,345,e
E905A,341,d
E920,334,d
E951,333,a
E501,325,e
E100,317,d
E570,316,e
E120,297,b
E1200,291,d
E450III,280,e
E904,279,d
E500I,261,e
E575,260,c
E521,259,c
E901,256,d
E339III,229,d
E501I,228,e
E290,226,b
E927A,217,b
E127,214,d
E150,213,d
E930,209,b
E310,208,e
E355,206,d
E405,203,e
E554,203,d
E530,202,d
E924A,182,d
E511,175,a
E262I,172,d
E315,171,c
E585,169,a
E221,169,d
E460I,166,d
E579,161,c
E1103,160,e
E1100,152,d
E965II,148,d
E307,146,b
E333,143,b
E917,141,b
E461,141,c
E968,140,a
E450I,139,d
E552,139,d
E417,134,d
E475,134,e
E452I,133,d
E160E,132,d
E413,127,d
E340III,126,c
E302,123,b
E363,121,d
E503,115,e
E520,114,d
E280,108,a
E620,93,d
E343,92,a
E464,92,e
E501II,91,c
E331III,89,e
E261,87,d
E510,80,c
E492,79,e
E916,71,b
E163,69,d
E526,68,a
E224,67,b
E1105,65,e
E416,65,e
E304,61,d
E304I,59,d
E967,59,c
E1104,58,b
E445,57,b
E263,56,a
E524,55,e
E420II,55,d
E252,53,e
E504,53,c
E504I,52,c
E942,52,d
E451,46,c
E477,43,e
E210,43,a
E162,42,d
E1101,39,c
E503II,39,e
E150D,38,e
E173,36,d
E340I,36,b
E502,35,e
E640,32,d
E1505,32,d
E640I,32,d
E234,31,d
E960,31,b
E212,30,b
E503I,30,e
E961,30,a
E514,29,e
E574,29,c
E576,28,a
E473,28,e
E425,27,e
E343II,27,c
E150C,25,d
E953,22,d
E928,22,d
E1422,21,d
E132,18,d
E339I,18,c
E487,17,e
E635,16,c
E392,16,c
E140,16,d
E535,16,d
E966,16,d
E954,16,b
E436,15,d
E578,15,b
E1518,15,d
E421,15,c
E443,14,b
E306,14,e
E404,13,d
E925,13,e
E964,13,c
E161B,13,e
E442,13,e
E949,12,d
E160D,12,c
E482,12,a
E216,11,a
E345,11,e
E141,11,d
E333III,10,d
E160,9,d
E1412,9,c
E329,9,b
E324,8,d
E1442,8,c
E472B,8,d
E528,8,d
E525,8,d
E900,8,d
E140I,8,d
E529,7,c
E622,7,c
E905B,7,d
E140II,7,d
E637,6,c
E636,6,c
E218,6,e
E444,6,b
E336I,5,d
E519,5,b
E172,5,d
E141II,5,d
E400,5,d
E336,5,d
E941,5,c
E161G,5,b
E201,4,d
E518,4,a
E450V,4,d
E515,4,b
E999,4,c
E624,3,a
E927B,3,c
E143,3,c
E472D,3,b
E425I,3,b
E472C,3,c
E452II,3,e
E331II,3,d
E350,3,d
E233,3,d
E249,3,e
E409,3,a
E539,3,a
E527,3,c
E553B,3,d
E451I,3,d
E957,2,c
E958,2,d
E468,2,b
E577,2,b
E470A,2,b
E350I,2,d
E124,2,b
E450II,2,e
E150B,2,b
E1519,2,e
E432,2,d
E440II,2,d
E266,2,a
E1450,2,e
E141I,2,a
E902,2,d
E123,1,a
E142,1,b
E131,1,e
E1201,1,d
E1414,1,d
E352,1,b
E311,1,e
E125,1,d
E905,1,e
E1504,1,c
E921,1,e
E908,1,e
E403,1,e
E226,1,a
E228,1,b
E381,1,b
E386,1,c
E242,1,e
E352I,1,b
E365,1,c
E343I,1,e
E450VI,1,e
E507,1,d
E474,1,e
E470,1,e
E472,1,b
E472A,1,a
E472G,1,a
E153,1,d
E514II,1,e
E553AI,1,e
E523,1,c
E522,1,d
E175,1,c
E172II,1,a
E174,1,d
E160AIV,1,d
E553A,1,e
E550,1,e
E555,1,d
E944,1,e
E948,1,a
E559,1,a
E104,1,e
